rating,title,review_text,reviewer_name,date,helpful_votes
,,Waste product highly maintainance the installation person is telling ur purchase stabilizer etc,,,
1,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,Decent product,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
1,,,,,
1,,,,,
,,"Product is great and it is easy to use When it delivered, within 1 day the installation is completed.",,,
,,This budget we can choose samsung or lg.atgise give a basic varient but more effective at this price level,,Decent product,
,,"Good product, just makes some noise then expected",,,
,,"This is good product, and it works good 👍",,,
,,Good Product. Worst Installation ( Technician),,,
,,This product is not satisfied because clothes are not clean money waste every one no purchase this item.,,,
1,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
1,,,,,
1,,,,,
,,Cheapest price compared to croma and reliance digital,,,
,,Amazing finish from ifb,,,
,,Right item original good looking no damage sand care fully.,,,
,,Within 3 months of purchase motor failed and replacement is not happening for last 3 weeks,,,
1,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
1,,,,,
1,,,,,
,,Value for money ifb best wash quality,,,
,,Not working ofter one month,,,
,,"Best in its range, performance is out of expectation, best 👍 worth to buy, go for it. 👍",,,
1,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
1,,,,,
1,,,,,
,,More noise and taking more water and taking more time for less cloths and less washing,,,
,,The product is not good..... It's too noisy.....,,,
,,Looks like cheap plastic,,,
,,Within two months the washing machine stopp,,,
,,The machine did not work on day 1 and is still not working,,,
,,"Not upto mark , previous experience was very good",,,
1,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
1,,,,,
1,,,,,
,,using efficiently and overall ok machine,,,
,,Product is very NYC but instalation not very good,,,
,,"Well its a very good product, go on with IFB , you will be happy with your purchase like mine ... 👍",,,
,,Nice...explanation superb,,,
1,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
1,,,,,
1,,,,,
,,"No installation done till date ie 5/11/2024. Whereas it was to be done on 2)12/2024. In this regard, I made so many calls to customer care of both IFB and Flipkart but to no avail. Very very disappointed.",,,
,,Don't buy this machine 3rd class machine,,,
,,Excellent performance. No issues till date after using 1 week. Detailed review will post after 2 month.,,,
,,Good product nice working,,,
,,"Good machine , i got at great price so i choose ifb.  Fabulous! Machine by Ifb, Bunget Friendly Machine.",,,
,,Awesome ifb + Flipkart....machine is superb . Don't think just buy it .,,,
,,"This is a very good machine. Does the work seamlessly. No matter which type of clothes you're washing, with appropriate settings everything is washed super clean. Washing clothes doesn't feel like a chore anymore.",,,
1,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,Decent product,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
1,,,,,
1,,,,,
,,Best product in this range,,,
,,Great service. Good product from Indian company.,,,
,,"Water level problem Even if the water level is full from the setting, the water does not fill full and the machine gets running without water .",,,
,,VERY GOOD PRODUCT...THANKS TO FLIPCART,,,
,,Nice product nd awesome design,,,
,,"Don't buy this product, making more noise and irritating, wash quality is also worst",,,
,,It's really fantastic.must buy this machine,,Decent product,
,,"I have been using this since 1 month. The cleaning quality is worse and it has stopped working after 1 month , it keeps showing Tap/Leap and is not proceeding",,,
1,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
1,,,,,
1,,,,,
,,Product is well but installation is wery bad,,,
,,Very Good product nd Service Same day delivery nd installation Thank you Flipkart nd  IFB 👍🏻,,,
,,Water continuously draining in all mode of washing options. Very disappointed with this product,,,
,,Machine is good and very compact,,,
,,Nice product and service is good,,,
,,Nice product from ifb,,,
,,Amazing products working is fast iam at so happy,,,
1,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
1,,,,,
1,,,,,
,,Worst company not responsible technician worst don't take this company everyone thank you,,,
